housing_median_age,population,median_income,ocean_proximity,median_house_value,population_per_households,rooms_per_household,bed_rooms_per_household,population_per_bedrooms,rooms_per_bedrooms
40,582.0,0.977,Coastal,118800,1.5315789473684212,2.3157894736842106,1.186842105263158,1.2904656319290466,1.951219512195122
10,546.0,0.76,Coastal,162500,1.6545454545454545,2.6515151515151514,1.0545454545454545,1.5689655172413792,2.514367816091954
10,125.0,0.9722,Coastal,137500,3.2051282051282053,2.6923076923076925,1.0769230769230769,2.9761904761904763,2.5
52,396.0,1.2434,Coastal,500001,4.658823529411765,2.929411764705882,0.9176470588235294,5.076923076923077,3.1923076923076925
16,800.0,2.0938,Coastal,162500,2.2099447513812156,2.74585635359116,1.0828729281767955,2.0408163265306123,2.5357142857142856
52,904.0,0.8668,Coastal,137500,10.272727272727273,2.4431818181818183,0.9886363636363636,10.39080459770115,2.471264367816092
52,191.0,0.75,Coastal,162500,5.617647058823529,2.823529411764706,0.9117647058823529,6.161290322580645,3.096774193548387
27,718.0,2.6354,Coastal,187500,2.377483443708609,3.493377483443709,1.1490066225165563,2.069164265129683,3.0403458213256482
39,1327.0,1.8477,Coastal,179200,2.841541755888651,3.6723768736616704,1.3340471092077089,2.130016051364366,2.752808988764045
36,3469.0,2.0096,Coastal,130000,2.194180898165718,3.370651486401012,1.0999367488931056,1.9948246118458886,3.0644048303622773
31,2048.0,2.8345,Coastal,183800,1.735593220338983,3.8949152542372882,1.1279661016949152,1.5386927122464313,3.4530428249436516
29,202.0,2.0062,Coastal,125000,2.21978021978022,3.681318681318681,1.1758241758241759,1.8878504672897196,3.130841121495327
22,2024.0,1.2185,Coastal,170000,1.6192,2.9456,1.016,1.5937007874015747,2.899212598425197
37,1838.0,2.6104,Coastal,193100,1.8755102040816327,3.7071428571428573,1.1071428571428572,1.6940092165898617,3.3483870967741933
29,2304.0,2.4912,Coastal,257800,1.8432,3.7248,1.1312,1.6294200848656295,3.292786421499293
28,2563.0,3.2177,Coastal,273400,1.7120908483633934,3.8784235136940546,1.070808283233133,1.5988771054273239,3.621958827199002
39,389.0,3.125,Coastal,237500,1.706140350877193,3.745614035087719,1.0614035087719298,1.6074380165289257,3.5289256198347108
52,895.0,2.5795,Coastal,350000,1.4600326264274062,3.5154975530179446,1.1435562805872757,1.2767475035663338,3.074179743223966
34,2689.0,2.8406,Coastal,335700,1.700822264389627,3.713472485768501,1.0999367488931056,1.5462909718228868,3.37607820586544
52,674.0,4.9306,Coastal,313400,2.762295081967213,6.184426229508197,0.9221311475409836,2.9955555555555557,6.706666666666667
52,709.0,3.2727,Coastal,268500,1.5548245614035088,4.442982456140351,1.0570175438596492,1.4709543568464731,4.203319502074689
52,686.0,3.1691,Coastal,259400,1.6255924170616114,4.165876777251185,1.0900473933649288,1.491304347826087,3.8217391304347825
52,1444.0,3.9,Coastal,275700,2.011142061281337,4.848189415041783,1.0459610027855153,1.9227696404793608,4.635153129161118
28,1520.0,3.9063,Coastal,225000,1.8952618453865338,4.160847880299252,1.0660847880299251,1.7777777777777777,3.902923976608187
52,550.0,5.0917,Coastal,262500,2.1739130434782608,5.628458498023716,1.1422924901185771,1.9031141868512111,4.927335640138408
32,1806.0,2.6429,Coastal,218500,1.7671232876712328,3.7270058708414875,1.0743639921722115,1.644808743169399,3.4690346083788706
26,1749.0,3.0233,Coastal,255000,1.4371405094494658,3.2530813475760065,0.9827444535743632,1.4623745819397993,3.310200668896321
52,939.0,3.1484,Coastal,224100,1.8092485549132948,4.578034682080925,1.0770712909441233,1.6797853309481217,4.2504472271914135
35,675.0,3.4722,Coastal,243100,1.599526066350711,3.822274881516588,1.014218009478673,1.5771028037383177,3.7686915887850465
52,534.0,3.1429,Coastal,231600,1.8350515463917525,4.3951890034364265,0.9862542955326461,1.8606271777003485,4.456445993031359
28,2558.0,2.4234,Coastal,218500,1.6179633143580012,3.176470588235294,1.0999367488931056,1.4709603220241518,2.8878665899942497
52,1786.0,3.0897,Coastal,234100,1.7222757955641272,4.040501446480231,1.0655737704918034,1.616289592760181,3.7918552036199094
50,970.0,5.8596,Coastal,327600,2.6005361930294906,6.742627345844504,1.0697050938337802,2.431077694235589,6.303258145363409
47,1098.0,5.2868,Coastal,347600,2.263917525773196,6.546391752577319,0.9360824742268041,2.4185022026431717,6.993392070484582
41,794.0,5.956,Coastal,366100,2.1117021276595747,6.851063829787234,1.0797872340425532,1.9556650246305418,6.344827586206897
37,98.0,4.9643,Coastal,335000,2.0851063829787235,7.1063829787234045,1.148936170212766,1.8148148148148149,6.185185185185185
52,1061.0,6.3434,Coastal,373600,2.632754342431762,6.947890818858561,1.0198511166253101,2.5815085158150852,6.81265206812652
52,1177.0,5.1773,Coastal,389500,2.120720720720721,6.358558558558559,1.0342342342342343,2.0505226480836236,6.148083623693379
52,901.0,7.2354,Coastal,391100,2.455040871934605,7.11716621253406,0.9945504087193461,2.4684931506849317,7.156164383561644
28,2031.0,5.457,Coastal,337300,2.1244769874476988,5.5303347280334725,1.096234309623431,1.9379770992366412,5.044847328244275
50,1031.0,7.5,Coastal,295200,2.152400835073069,6.127348643006263,0.9874739039665971,2.1797040169133193,6.20507399577167
44,1358.0,6.0194,Coastal,292300,2.274706867671692,5.735343383584589,1.0,2.274706867671692,5.735343383584589
40,1616.0,7.5544,Coastal,411500,2.470948012232416,7.631498470948012,1.0305810397553516,2.397626112759644,7.405044510385757
30,844.0,6.0666,Coastal,311500,2.4606413994169096,6.446064139941691,1.0087463556851313,2.439306358381503,6.390173410404624
34,1140.0,7.0548,Coastal,325900,2.2983870967741935,6.125,0.9879032258064516,2.326530612244898,6.2
18,533.0,8.946750000000016,Coastal,392600,2.747422680412371,8.335051546391753,1.0824742268041236,2.538095238095238,7.7
35,1072.0,7.4882,Coastal,319300,2.419864559819413,6.467268623024831,1.0383747178329572,2.3304347826086955,6.228260869565218
34,1627.0,6.8976,Coastal,333300,2.1240208877284594,6.6122715404699735,1.0287206266318538,2.064720812182741,6.427664974619289
28,463.0,8.2049,Coastal,335200,2.4368421052631577,6.978947368421053,0.968421052631579,2.516304347826087,7.206521739130435
26,542.0,8.401,Coastal,351200,2.5687203791469195,7.530805687203792,1.0568720379146919,2.430493273542601,7.125560538116592
29,661.0,6.8538,Coastal,368900,2.45724907063197,6.657992565055762,1.0074349442379182,2.4391143911439115,6.608856088560886
32,635.0,8.317,Coastal,365900,2.414448669201521,6.977186311787072,1.0038022813688212,2.4053030303030303,6.950757575757576
37,420.0,7.0175,Coastal,366700,2.3863636363636362,6.982954545454546,1.0284090909090908,2.320441988950276,6.790055248618785
39,1265.0,6.3302,Coastal,362800,2.53,7.54,1.068,2.3689138576779025,7.059925093632959
30,126.0,6.3624,Coastal,483300,2.423076923076923,5.615384615384615,0.7307692307692307,3.3157894736842106,7.684210526315789
52,813.0,7.0549,Coastal,331400,2.322857142857143,6.785714285714286,0.9514285714285714,2.4414414414414414,7.132132132132132
45,1067.0,6.7851,Coastal,323500,2.504694835680751,6.957746478873239,1.0234741784037558,2.447247706422018,6.798165137614679
50,1260.0,2.8929,Coastal,216700,2.282608695652174,5.132246376811594,1.0960144927536233,2.0826446280991737,4.682644628099173
38,951.0,3.0812,Coastal,233100,1.9527720739219712,4.628336755646817,1.0985626283367556,1.777570093457944,4.213084112149533
52,510.0,5.2402,Coastal,296400,2.2767857142857144,6.200892857142857,0.9464285714285714,2.4056603773584904,6.55188679245283
52,765.0,6.5217,Coastal,273700,2.4837662337662336,6.39935064935065,1.0876623376623376,2.283582089552239,5.883582089552239
52,1129.0,3.2632,Coastal,227700,2.4543478260869565,4.745652173913044,1.0108695652173914,2.4279569892473116,4.694623655913978
52,1073.0,3.0298,Coastal,199600,2.433106575963719,5.183673469387755,1.0521541950113378,2.3125,4.926724137931035
52,1185.0,4.5428,Coastal,239800,2.3009708737864076,5.283495145631068,1.050485436893204,2.190388170055453,5.029574861367838
52,756.0,4.072,Coastal,270100,2.223529411764706,5.952941176470588,0.9970588235294118,2.230088495575221,5.9705014749262535
52,1034.0,5.3509,Coastal,302100,1.9846449136276392,5.65067178502879,1.0287907869481765,1.9291044776119404,5.492537313432836
52,787.0,3.1603,Coastal,269500,1.7145969498910676,4.429193899782135,1.0588235294117647,1.6193415637860082,4.183127572016461
52,612.0,4.7708,Coastal,314700,2.8732394366197185,6.727699530516432,1.0751173708920188,2.6724890829694323,6.25764192139738
52,1021.0,8.1564,Coastal,390100,2.6868421052631577,7.7026315789473685,1.0578947368421052,2.5398009950248754,7.281094527363184
52,861.0,8.8793,Coastal,410300,3.3372093023255816,8.972868217054264,1.1317829457364341,2.9486301369863015,7.928082191780822
52,953.0,6.8591,Coastal,352400,2.914373088685015,7.599388379204893,0.9571865443425076,3.0447284345047922,7.939297124600639
52,634.0,6.0302,Coastal,287300,2.4765625,5.8203125,0.9296875,2.6638655462184873,6.260504201680672
52,878.0,7.508,Coastal,348700,2.4943181818181817,7.994318181818182,1.0369318181818181,2.4054794520547946,7.7095890410958905
52,918.0,2.7477,Coastal,243800,1.9006211180124224,4.333333333333333,1.1387163561076605,1.6690909090909092,3.8054545454545456
52,360.0,2.1944,Coastal,211500,2.057142857142857,5.074285714285714,0.96,2.142857142857143,5.285714285714286
52,1197.0,3.0149,Coastal,218400,2.4528688524590163,4.276639344262295,1.0450819672131149,2.347058823529412,4.092156862745098
52,1048.0,3.675,Coastal,269900,2.023166023166023,4.851351351351352,0.9691119691119691,2.087649402390438,5.00597609561753
46,1373.0,3.225,Coastal,218800,1.8380187416331994,4.326639892904953,1.1178045515394912,1.644311377245509,3.8706586826347307
42,1715.0,2.9345,Coastal,225000,1.6896551724137931,4.059113300492611,1.0492610837438423,1.6103286384976525,3.868544600938967
43,1359.0,2.1429,Coastal,250000,1.8822714681440442,3.2742382271468142,1.0969529085872576,1.7159090909090908,2.984848484848485
41,1062.0,1.6121,Coastal,171400,2.5714285714285716,3.5617433414043584,1.1355932203389831,2.2643923240938166,3.136460554371002
29,1335.0,1.3929,Coastal,193800,1.7270375161707632,3.1927554980595083,1.1177231565329884,1.5451388888888888,2.8564814814814814
27,1171.0,2.3173,Coastal,125000,2.7296037296037294,3.804195804195804,1.1468531468531469,2.380081300813008,3.317073170731707
45,1475.0,1.7772,Coastal,97500,3.2065217391304346,3.882608695652174,1.1434782608695653,2.8041825095057034,3.3954372623574143
50,742.0,2.6458,Coastal,125000,3.7857142857142856,3.2091836734693877,0.9591836734693877,3.9468085106382977,3.345744680851064
52,1086.0,2.181,Coastal,138800,2.9917355371900825,3.6887052341597797,1.0771349862258952,2.7774936061381075,3.424552429667519
36,1645.0,2.2303,Coastal,116700,3.029465930018416,3.0902394106813995,1.1160220994475138,2.7145214521452146,2.768976897689769
43,1710.0,1.6504,Coastal,151800,2.6552795031055902,3.639751552795031,1.0046583850931676,2.642967542503864,3.6228748068006182
52,731.0,2.2697,Coastal,127000,3.206140350877193,4.368421052631579,1.0,3.206140350877193,4.368421052631579
52,1118.0,2.1563,Coastal,128600,3.2219020172910664,4.585014409221902,1.07492795389049,2.997319034852547,4.265415549597855
52,1006.0,2.1348,Coastal,140600,3.002985074626866,4.7343283582089555,1.1880597014925374,2.527638190954774,3.9849246231155777
47,1213.0,2.6292,Coastal,182700,2.1895306859205776,3.693140794223827,1.0613718411552346,2.062925170068027,3.479591836734694
52,772.0,2.3833,Coastal,146900,3.0038910505836576,4.638132295719845,1.1245136186770428,2.671280276816609,4.124567474048443
52,1321.0,2.957,Coastal,122800,3.29426433915212,4.496259351620948,1.0473815461346634,3.145238095238095,4.292857142857143
49,1487.0,2.5238,Coastal,169300,2.1964549483013296,4.192023633677991,1.106351550960118,1.985313751668892,3.7890520694259013
52,488.0,1.9375,Coastal,126600,2.6236559139784945,4.209677419354839,0.989247311827957,2.652173913043478,4.255434782608695
51,949.0,1.9028,Coastal,127900,2.420918367346939,4.0561224489795915,1.0561224489795917,2.292270531400966,3.8405797101449277
50,1149.0,2.25,Coastal,123500,2.7686746987951807,4.20722891566265,1.1566265060240963,2.39375,3.6375
52,844.0,2.3929,Coastal,111900,3.0142857142857142,4.4714285714285715,1.0678571428571428,2.822742474916388,4.187290969899665
43,4367.0,2.1917,Coastal,112800,3.5475223395613322,4.844029244516653,1.091795288383428,3.2492559523809526,4.4367559523809526
52,1659.0,2.9357,Coastal,107900,4.026699029126213,4.327669902912621,0.9587378640776699,4.2,4.5139240506329115
30,1011.0,1.8854,Coastal,137500,3.844106463878327,3.7984790874524714,1.0038022813688212,3.8295454545454546,3.784090909090909
39,1464.0,2.1638,Coastal,105500,3.763496143958869,3.776349614395887,1.1079691516709511,3.3967517401392113,3.4083526682134573
47,1237.0,2.125,Coastal,95500,4.082508250825082,4.528052805280528,1.3036303630363035,3.131645569620253,3.473417721518987
52,647.0,3.375,Coastal,116100,3.8511904761904763,4.011904761904762,1.0714285714285714,3.5944444444444446,3.7444444444444445
43,1284.0,2.2542,Coastal,112200,3.596638655462185,4.554621848739496,1.0532212885154062,3.4148936170212765,4.324468085106383
51,228.0,2.1,Coastal,75000,4.1454545454545455,3.1818181818181817,0.7818181818181819,5.3023255813953485,4.069767441860465
39,381.0,1.6,Coastal,112500,3.097560975609756,3.747967479674797,1.048780487804878,2.953488372093023,3.5736434108527133
52,846.0,3.625,Coastal,125000,3.7268722466960353,3.973568281938326,1.0440528634361232,3.569620253164557,3.8059071729957807
20,1659.0,1.6929,Coastal,115000,2.4541420118343193,3.510355029585799,1.1523668639053255,2.1296534017971758,3.0462130937098846
52,520.0,1.6471,Coastal,95000,3.7681159420289854,2.8333333333333335,0.927536231884058,4.0625,3.0546875
52,866.0,2.59,Coastal,96400,3.3436293436293436,4.38996138996139,1.162162162162162,2.877076411960133,3.777408637873754
52,612.0,2.57,Coastal,72000,3.3442622950819674,4.202185792349726,1.1256830601092895,2.970873786407767,3.733009708737864
52,415.0,2.6429,Coastal,71300,3.2936507936507935,3.746031746031746,1.1587301587301588,2.8424657534246576,3.232876712328767
52,994.0,3.0257,Coastal,80800,4.666666666666667,4.046948356807512,1.0093896713615023,4.623255813953488,4.0093023255813955
50,1525.0,1.4886,Coastal,128800,3.19706498951782,4.0251572327044025,1.1111111111111112,2.8773584905660377,3.6226415094339623
43,1506.0,1.9338,Coastal,112500,3.4383561643835616,3.2420091324200913,1.0776255707762556,3.190677966101695,3.0084745762711864
52,1008.0,1.4844,Coastal,119400,3.9529411764705884,3.8666666666666667,1.011764705882353,3.9069767441860463,3.8217054263565893
44,2813.0,1.6009,Coastal,118100,3.745672436750999,3.1158455392809588,1.0985352862849533,3.4096969696969697,2.8363636363636364
48,1481.0,2.0375,Coastal,122500,4.317784256559767,4.944606413994169,1.154518950437318,3.73989898989899,4.282828282828283
49,859.0,2.293,Coastal,106300,3.922374429223744,5.365296803652968,0.9908675799086758,3.9585253456221197,5.414746543778802
37,1608.0,2.1494,Coastal,132500,3.074569789674952,4.479923518164436,1.0975143403441683,2.8013937282229966,4.081881533101045
30,425.0,1.6198,Coastal,122700,3.0357142857142856,4.357142857142857,1.0357142857142858,2.9310344827586206,4.206896551724138
40,564.0,1.3281,Coastal,113300,3.0652173913043477,5.054347826086956,1.0815217391304348,2.8341708542713566,4.673366834170854
44,961.0,3.5156,Coastal,109500,3.5330882352941178,5.466911764705882,1.1544117647058822,3.0605095541401273,4.735668789808917
52,2273.0,3.9048,Coastal,164700,3.318248175182482,4.998540145985402,1.0072992700729928,3.294202898550725,4.9623188405797105
52,600.0,3.0893,Coastal,125000,3.076923076923077,3.9076923076923076,0.9743589743589743,3.1578947368421053,4.010526315789473
46,1647.0,2.6042,Coastal,124700,3.1252371916508537,4.489563567362429,1.0910815939278937,2.8643478260869566,4.114782608695652
49,1201.0,2.5,Coastal,136700,2.832547169811321,4.306603773584905,1.0613207547169812,2.668888888888889,4.057777777777778
38,2167.0,2.7969,Coastal,141700,3.2883156297420335,4.626707132018209,1.078907435508346,3.047819971870605,4.2883263009845285
29,939.0,2.8321,Coastal,150000,2.761764705882353,4.823529411764706,1.1058823529411765,2.497340425531915,4.361702127659575
47,859.0,2.9583,Coastal,138800,2.941780821917808,5.284246575342466,1.0513698630136987,2.798045602605863,5.026058631921824
34,1517.0,2.8365,Coastal,139200,2.939922480620155,4.5813953488372094,1.0794573643410852,2.723518850987433,4.244165170556553
35,1143.0,2.875,Coastal,143800,2.961139896373057,4.520725388601036,1.0595854922279793,2.7946210268948657,4.266503667481663
39,1109.0,3.0682,Coastal,156500,2.3900862068965516,4.316810344827586,1.0775862068965518,2.218,4.006
39,1221.0,3.0757,Coastal,151000,2.7376681614349776,4.524663677130045,1.0022421524663676,2.7315436241610738,4.514541387024608
43,1115.0,4.9559,Coastal,273000,2.4505494505494507,6.6923076923076925,1.0967032967032968,2.2344689378757514,6.102204408817635
52,706.0,4.7721,Coastal,217100,2.6343283582089554,5.772388059701493,1.0932835820895523,2.409556313993174,5.279863481228669
52,1883.0,3.4861,Coastal,187100,2.6671388101983005,4.984419263456091,1.0070821529745042,2.648382559774965,4.949367088607595
41,804.0,5.1184,Coastal,239600,2.364705882352941,6.088235294117647,1.0411764705882354,2.2711864406779663,5.8474576271186445
48,506.0,4.0977,Coastal,229700,2.007936507936508,5.242063492063492,1.0436507936507937,1.9239543726235742,5.022813688212928
