housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
10,105.0,42.0,125.0,39.0,0.9722,near bay,137500
52,249.0,78.0,396.0,85.0,1.2434,near bay,500001
16,994.0,392.0,800.0,362.0,2.0938,near bay,162500
52,215.0,87.0,904.0,88.0,0.8668,near bay,137500
52,96.0,31.0,191.0,34.0,0.75,near bay,162500
27,1055.0,347.0,718.0,302.0,2.6354,near bay,187500
39,1715.0,623.0,1327.0,467.0,1.8477,near bay,179200
36,5329.0,1739.0,3469.0,1581.0,2.0096,near bay,130000
31,4596.0,1331.0,2048.0,1180.0,2.8345,near bay,183800
29,335.0,107.0,202.0,91.0,2.0062,near bay,125000
22,3682.0,1270.0,2024.0,1250.0,1.2185,near bay,170000
37,3633.0,1085.0,1838.0,980.0,2.6104,near bay,193100
29,4656.0,1414.0,2304.0,1250.0,2.4912,near bay,257800
28,5806.0,1603.0,2563.0,1497.0,3.2177,near bay,273400
39,854.0,242.0,389.0,228.0,3.125,near bay,237500
52,2155.0,701.0,895.0,613.0,2.5795,near bay,350000
34,5871.0,1739.0,2689.0,1581.0,2.8406,near bay,335700
52,1509.0,225.0,674.0,244.0,4.9306,near bay,313400
52,2026.0,482.0,709.0,456.0,3.2727,near bay,268500
52,1758.0,460.0,686.0,422.0,3.1691,near bay,259400
52,3481.0,751.0,1444.0,718.0,3.9,near bay,275700
28,3337.0,855.0,1520.0,802.0,3.9063,near bay,225000
52,1424.0,289.0,550.0,253.0,5.0917,near bay,262500
32,3809.0,1098.0,1806.0,1022.0,2.6429,near bay,218500
26,3959.0,1196.0,1749.0,1217.0,3.0233,near bay,255000
52,2376.0,559.0,939.0,519.0,3.1484,near bay,224100
35,1613.0,428.0,675.0,422.0,3.4722,near bay,243100
52,1279.0,287.0,534.0,291.0,3.1429,near bay,231600
28,5022.0,1739.0,2558.0,1581.0,2.4234,near bay,218500
52,4190.0,1105.0,1786.0,1037.0,3.0897,near bay,234100
50,2515.0,399.0,970.0,373.0,5.8596,near bay,327600
47,3175.0,454.0,1098.0,485.0,5.2868,near bay,347600
41,2576.0,406.0,794.0,376.0,5.956,near bay,366100
37,334.0,54.0,98.0,47.0,4.9643,near bay,335000
52,2800.0,411.0,1061.0,403.0,6.3434,near bay,373600
52,3529.0,574.0,1177.0,555.0,5.1773,near bay,389500
52,2612.0,365.0,901.0,367.0,7.2354,near bay,391100
28,5287.0,1048.0,2031.0,956.0,5.457,near bay,337300
50,2935.0,473.0,1031.0,479.0,7.5,near bay,295200
44,3424.0,597.0,1358.0,597.0,6.0194,near bay,292300
40,4991.0,674.0,1616.0,654.0,7.5544,near bay,411500
30,2211.0,346.0,844.0,343.0,6.0666,near bay,311500
34,3038.0,490.0,1140.0,496.0,7.0548,near bay,325900
18,1617.0,210.0,533.0,194.0,8.946750000000016,near bay,392600
35,2865.0,460.0,1072.0,443.0,7.4882,near bay,319300
34,5065.0,788.0,1627.0,766.0,6.8976,near bay,333300
28,1326.0,184.0,463.0,190.0,8.2049,near bay,335200
26,1589.0,223.0,542.0,211.0,8.401,near bay,351200
29,1791.0,271.0,661.0,269.0,6.8538,near bay,368900
32,1835.0,264.0,635.0,263.0,8.317,near bay,365900
37,1229.0,181.0,420.0,176.0,7.0175,near bay,366700
39,3770.0,534.0,1265.0,500.0,6.3302,near bay,362800
30,292.0,38.0,126.0,52.0,6.3624,near bay,483300
52,2375.0,333.0,813.0,350.0,7.0549,near bay,331400
45,2964.0,436.0,1067.0,426.0,6.7851,near bay,323500
50,2833.0,605.0,1260.0,552.0,2.8929,near bay,216700
38,2254.0,535.0,951.0,487.0,3.0812,near bay,233100
52,1389.0,212.0,510.0,224.0,5.2402,near bay,296400
52,1971.0,335.0,765.0,308.0,6.5217,near bay,273700
52,2183.0,465.0,1129.0,460.0,3.2632,near bay,227700
52,2286.0,464.0,1073.0,441.0,3.0298,near bay,199600
52,2721.0,541.0,1185.0,515.0,4.5428,near bay,239800
52,2024.0,339.0,756.0,340.0,4.072,near bay,270100
52,2944.0,536.0,1034.0,521.0,5.3509,near bay,302100
52,2033.0,486.0,787.0,459.0,3.1603,near bay,269500
52,1433.0,229.0,612.0,213.0,4.7708,near bay,314700
52,2927.0,402.0,1021.0,380.0,8.1564,near bay,390100
52,2315.0,292.0,861.0,258.0,8.8793,near bay,410300
52,2485.0,313.0,953.0,327.0,6.8591,near bay,352400
52,1490.0,238.0,634.0,256.0,6.0302,near bay,287300
52,2814.0,365.0,878.0,352.0,7.508,near bay,348700
52,2093.0,550.0,918.0,483.0,2.7477,near bay,243800
52,888.0,168.0,360.0,175.0,2.1944,near bay,211500
52,2087.0,510.0,1197.0,488.0,3.0149,near bay,218400
52,2513.0,502.0,1048.0,518.0,3.675,near bay,269900
46,3232.0,835.0,1373.0,747.0,3.225,near bay,218800
42,4120.0,1065.0,1715.0,1015.0,2.9345,near bay,225000
43,2364.0,792.0,1359.0,722.0,2.1429,near bay,250000
41,1471.0,469.0,1062.0,413.0,1.6121,near bay,171400
29,2468.0,864.0,1335.0,773.0,1.3929,near bay,193800
27,1632.0,492.0,1171.0,429.0,2.3173,near bay,125000
45,1786.0,526.0,1475.0,460.0,1.7772,near bay,97500
50,629.0,188.0,742.0,196.0,2.6458,near bay,125000
52,1339.0,391.0,1086.0,363.0,2.181,near bay,138800
36,1678.0,606.0,1645.0,543.0,2.2303,near bay,116700
43,2344.0,647.0,1710.0,644.0,1.6504,near bay,151800
52,996.0,228.0,731.0,228.0,2.2697,near bay,127000
52,1591.0,373.0,1118.0,347.0,2.1563,near bay,128600
52,1586.0,398.0,1006.0,335.0,2.1348,near bay,140600
47,2046.0,588.0,1213.0,554.0,2.6292,near bay,182700
52,1192.0,289.0,772.0,257.0,2.3833,near bay,146900
52,1803.0,420.0,1321.0,401.0,2.957,near bay,122800
49,2838.0,749.0,1487.0,677.0,2.5238,near bay,169300
52,783.0,184.0,488.0,186.0,1.9375,near bay,126600
51,1590.0,414.0,949.0,392.0,1.9028,near bay,127900
50,1746.0,480.0,1149.0,415.0,2.25,near bay,123500
52,1252.0,299.0,844.0,280.0,2.3929,near bay,111900
43,5963.0,1344.0,4367.0,1231.0,2.1917,near bay,112800
52,1783.0,395.0,1659.0,412.0,2.9357,near bay,107900
30,999.0,264.0,1011.0,263.0,1.8854,near bay,137500
39,1469.0,431.0,1464.0,389.0,2.1638,near bay,105500
47,1372.0,395.0,1237.0,303.0,2.125,near bay,95500
52,674.0,180.0,647.0,168.0,3.375,near bay,116100
43,1626.0,376.0,1284.0,357.0,2.2542,near bay,112200
51,175.0,43.0,228.0,55.0,2.1,near bay,75000
39,461.0,129.0,381.0,123.0,1.6,near bay,112500
52,902.0,237.0,846.0,227.0,3.625,near bay,125000
20,2373.0,779.0,1659.0,676.0,1.6929,near bay,115000
52,391.0,128.0,520.0,138.0,1.6471,near bay,95000
52,1137.0,301.0,866.0,259.0,2.59,near bay,96400
52,769.0,206.0,612.0,183.0,2.57,near bay,72000
52,472.0,146.0,415.0,126.0,2.6429,near bay,71300
52,862.0,215.0,994.0,213.0,3.0257,near bay,80800
50,1920.0,530.0,1525.0,477.0,1.4886,near bay,128800
43,1420.0,472.0,1506.0,438.0,1.9338,near bay,112500
52,986.0,258.0,1008.0,255.0,1.4844,near bay,119400
44,2340.0,825.0,2813.0,751.0,1.6009,near bay,118100
48,1696.0,396.0,1481.0,343.0,2.0375,near bay,122500
49,1175.0,217.0,859.0,219.0,2.293,near bay,106300
37,2343.0,574.0,1608.0,523.0,2.1494,near bay,132500
30,610.0,145.0,425.0,140.0,1.6198,near bay,122700
40,930.0,199.0,564.0,184.0,1.3281,near bay,113300
44,1487.0,314.0,961.0,272.0,3.5156,near bay,109500
52,3424.0,690.0,2273.0,685.0,3.9048,near bay,164700
52,762.0,190.0,600.0,195.0,3.0893,near bay,125000
46,2366.0,575.0,1647.0,527.0,2.6042,near bay,124700
49,1826.0,450.0,1201.0,424.0,2.5,near bay,136700
38,3049.0,711.0,2167.0,659.0,2.7969,near bay,141700
29,1640.0,376.0,939.0,340.0,2.8321,near bay,150000
47,1543.0,307.0,859.0,292.0,2.9583,near bay,138800
34,2364.0,557.0,1517.0,516.0,2.8365,near bay,139200
35,1745.0,409.0,1143.0,386.0,2.875,near bay,143800
39,2003.0,500.0,1109.0,464.0,3.0682,near bay,156500
39,2018.0,447.0,1221.0,446.0,3.0757,near bay,151000
43,3045.0,499.0,1115.0,455.0,4.9559,near bay,273000
52,1547.0,293.0,706.0,268.0,4.7721,near bay,217100
52,3519.0,711.0,1883.0,706.0,3.4861,near bay,187100
41,2070.0,354.0,804.0,340.0,5.1184,near bay,239600
48,1321.0,263.0,506.0,252.0,4.0977,near bay,229700
48,1694.0,259.0,610.0,238.0,4.744,near bay,257300
46,1938.0,341.0,768.0,332.0,4.2727,near bay,246900
50,968.0,195.0,462.0,184.0,2.9844,near bay,179900
40,1060.0,256.0,667.0,235.0,4.1739,near bay,169600
46,2041.0,405.0,1059.0,399.0,3.8487,near bay,203300
52,1813.0,271.0,637.0,277.0,4.0114,near bay,263400
45,2718.0,451.0,1106.0,454.0,4.6563,near bay,231800
28,3144.0,761.0,1737.0,669.0,2.9297,near bay,140500
35,1802.0,459.0,1009.0,390.0,2.3036,near bay,126000
49,882.0,195.0,737.0,210.0,2.6667,near bay,122000
44,1621.0,452.0,1354.0,491.0,2.619,near bay,134700
45,2115.0,533.0,1530.0,474.0,2.4167,near bay,139400
45,2021.0,528.0,1410.0,480.0,2.7788,near bay,115400
46,2239.0,508.0,1390.0,569.0,2.7352,near bay,137300
52,1477.0,300.0,1065.0,269.0,1.8472,near bay,137000
52,1056.0,224.0,792.0,245.0,2.6583,near bay,142600
49,898.0,244.0,779.0,245.0,3.0536,near bay,137500
44,2968.0,710.0,2269.0,610.0,2.3906,near bay,111700
43,1702.0,460.0,1227.0,407.0,1.7188,near bay,126800
47,881.0,248.0,753.0,241.0,2.625,near bay,111300
40,494.0,114.0,547.0,135.0,2.8015,near bay,114800
50,1776.0,473.0,1807.0,440.0,1.7276,near bay,102300
44,1678.0,514.0,1700.0,495.0,2.0801,near bay,131900
51,1637.0,463.0,1543.0,393.0,2.489,near bay,119100
52,1420.0,314.0,1085.0,300.0,1.7546,near bay,80600
52,591.0,173.0,353.0,137.0,4.0904,near bay,80600
52,745.0,153.0,473.0,149.0,2.6765,near bay,88800
49,2272.0,498.0,1621.0,483.0,2.4338,near bay,102400
46,1234.0,375.0,1183.0,354.0,2.3309,near bay,98700
43,1017.0,328.0,836.0,277.0,2.2604,near bay,100000
42,932.0,254.0,900.0,263.0,1.8039,near bay,92300
39,2689.0,597.0,1888.0,537.0,2.2562,near bay,94800
41,1547.0,415.0,1024.0,341.0,2.0562,near bay,102000
52,2300.0,443.0,1225.0,423.0,3.5398,near bay,158400
39,1752.0,399.0,1071.0,376.0,3.1167,near bay,121600
50,1867.0,403.0,1128.0,378.0,2.5401,near bay,129100
43,2430.0,502.0,1537.0,484.0,2.898,near bay,121400
44,1729.0,414.0,1240.0,393.0,2.3125,near bay,102800
52,1026.0,180.0,469.0,168.0,2.875,near bay,160000
52,2170.0,428.0,1086.0,425.0,3.3715,near bay,143900
52,2329.0,445.0,1144.0,417.0,3.5114,near bay,151200
52,2492.0,415.0,1109.0,375.0,4.3125,near bay,164400
52,2198.0,397.0,984.0,369.0,3.22,near bay,156500
33,142.0,31.0,575.0,47.0,3.875,near bay,225000
49,1183.0,205.0,496.0,209.0,5.2328,near bay,174200
52,1070.0,193.0,555.0,190.0,3.7262,near bay,166900
45,1766.0,332.0,869.0,327.0,4.5893,near bay,163500
39,617.0,95.0,236.0,106.0,5.2578,near bay,253000
41,1411.0,233.0,626.0,214.0,7.0875,near bay,240700
46,2109.0,387.0,922.0,329.0,3.9712,near bay,208100
47,1229.0,243.0,582.0,256.0,2.9514,near bay,198100
50,954.0,217.0,546.0,201.0,2.6667,near bay,172800
37,1643.0,262.0,620.0,266.0,5.4446,near bay,336700
34,1355.0,195.0,442.0,195.0,6.2838,near bay,318200
23,2317.0,336.0,955.0,328.0,6.7527,near bay,285800
24,2459.0,317.0,916.0,324.0,7.0712,near bay,293000
22,8853.520000000019,1739.0,4573.6600000000035,1581.0,5.9849,near bay,371000
42,1524.0,260.0,651.0,267.0,3.6875,near bay,157300
30,3326.0,746.0,1704.0,703.0,2.875,near bay,135300
43,1985.0,440.0,1085.0,407.0,3.4205,near bay,136700
50,1642.0,322.0,713.0,284.0,3.2984,near bay,160700
49,893.0,177.0,468.0,181.0,3.875,near bay,140600
52,653.0,128.0,296.0,121.0,4.175,near bay,144000
47,1256.0,435.0,570.0,218.0,4.375,near bay,161900
48,977.0,194.0,446.0,180.0,4.7708,near bay,156300
45,2324.0,397.0,968.0,384.0,3.5739,near bay,176000
39,1583.0,349.0,857.0,316.0,3.0958,near bay,145800
39,1612.0,342.0,912.0,322.0,3.3958,near bay,141900
31,2424.0,533.0,1360.0,452.0,1.871,near bay,90700
41,1594.0,367.0,1074.0,355.0,1.9356,near bay,90600
47,2118.0,413.0,965.0,382.0,2.1842,near bay,107900
37,1575.0,358.0,933.0,320.0,2.2917,near bay,107000
38,1764.0,397.0,987.0,354.0,2.4333,near bay,98200
50,1187.0,261.0,907.0,246.0,1.9479,near bay,89500
52,754.0,175.0,447.0,165.0,3.9063,near bay,93800
49,2308.0,452.0,1299.0,451.0,1.8407,near bay,96700
27,909.0,236.0,396.0,157.0,2.0786,near bay,97500
42,1180.0,257.0,877.0,268.0,2.8125,near bay,97300
43,2018.0,408.0,1111.0,367.0,1.8913,near bay,91200
49,1368.0,282.0,790.0,269.0,1.7056,near bay,91400
52,2744.0,547.0,1479.0,554.0,2.2768,near bay,96200
51,2107.0,471.0,1173.0,438.0,3.2552,near bay,120100
52,1748.0,362.0,1029.0,366.0,2.0556,near bay,100000
52,2024.0,391.0,1030.0,350.0,2.4659,near bay,94700
47,1116.0,259.0,826.0,279.0,1.75,near bay,85700
41,2036.0,510.0,1412.0,454.0,2.0469,near bay,89300
45,1852.0,393.0,1132.0,349.0,2.7159,near bay,101400
41,921.0,207.0,522.0,159.0,1.2083,near bay,72500
45,995.0,238.0,630.0,237.0,1.925,near bay,74100
36,606.0,132.0,531.0,133.0,1.5809,near bay,70000
37,2680.0,736.0,1925.0,667.0,1.4097,near bay,84600
38,1493.0,370.0,1144.0,351.0,0.7683,near bay,81800
19,2207.0,565.0,1481.0,520.0,1.3194,near bay,81400
28,856.0,189.0,435.0,162.0,0.8012,near bay,81800
26,1293.0,297.0,984.0,303.0,1.9479,near bay,85800
36,847.0,212.0,567.0,159.0,1.1765,near bay,87100
42,541.0,154.0,380.0,123.0,2.3456,near bay,83500
44,1066.0,253.0,825.0,244.0,2.1538,near bay,79700
43,707.0,147.0,417.0,155.0,2.5139,near bay,83400
45,1528.0,291.0,801.0,287.0,1.2625,near bay,84700
42,909.0,215.0,646.0,198.0,2.9063,near bay,80000
43,1391.0,293.0,855.0,285.0,2.5192,near bay,76400
44,548.0,119.0,435.0,136.0,2.1111,near bay,79700
42,4074.0,874.0,2736.0,780.0,2.455,near bay,82400
41,1613.0,445.0,1481.0,414.0,2.4028,near bay,97700
47,463.0,134.0,327.0,137.0,2.15,near bay,97200
43,818.0,193.0,494.0,179.0,2.4776,near bay,101600
43,1473.0,371.0,1231.0,341.0,2.1587,near bay,86500
35,504.0,126.0,323.0,109.0,1.8438,near bay,90500
46,1026.0,226.0,749.0,225.0,3.0298,near bay,107600
46,769.0,183.0,693.0,178.0,2.25,near bay,84200
46,2103.0,391.0,1339.0,354.0,2.2467,near bay,88900
45,330.0,76.0,282.0,80.0,4.0469,near bay,80700
46,941.0,218.0,621.0,195.0,1.325,near bay,87100
38,992.0,435.0,732.0,259.0,1.6196,near bay,85100
45,990.0,261.0,901.0,260.0,2.1731,near bay,82000
36,1126.0,263.0,482.0,150.0,1.9167,near bay,82800
43,1036.0,233.0,652.0,213.0,2.069,near bay,84600
36,1047.0,214.0,651.0,166.0,1.712,near bay,82100
33,1280.0,307.0,999.0,286.0,2.5625,near bay,89300
43,1587.0,320.0,907.0,306.0,1.9821,near bay,98300
41,1257.0,271.0,828.0,230.0,2.5043,near bay,92300
44,1218.0,248.0,763.0,254.0,2.3281,near bay,88800
48,1751.0,390.0,935.0,349.0,1.4375,near bay,90000
45,2299.0,514.0,1437.0,484.0,2.5122,near bay,95500
38,2457.0,624.0,1516.0,482.0,1.5625,near bay,91700
47,998.0,211.0,597.0,185.0,3.1587,near bay,100400
40,1685.0,343.0,949.0,342.0,1.8426,near bay,94800
46,1827.0,307.0,881.0,302.0,4.6696,near bay,164300
36,2781.0,574.0,1438.0,519.0,2.4598,near bay,155500
39,1823.0,286.0,763.0,270.0,6.0749,near bay,196900
27,2229.0,365.0,1297.0,355.0,4.8304,near bay,279100
34,1513.0,231.0,545.0,211.0,5.5701,near bay,252800
26,3266.0,491.0,1222.0,533.0,5.37,near bay,275400
33,1809.0,261.0,808.0,219.0,6.86,near bay,250000
28,794.0,111.0,329.0,109.0,7.6923,near bay,329800
36,690.0,105.0,299.0,109.0,4.0313,near bay,195500
33,1334.0,200.0,579.0,202.0,6.8323,near bay,255900
30,414.0,54.0,137.0,50.0,4.975,near bay,311100
36,768.0,93.0,229.0,93.0,5.3602,near bay,330000
41,4400.0,666.0,1476.0,648.0,5.0,near bay,248900
46,954.0,161.0,429.0,154.0,2.925,near bay,142900
40,1445.0,256.0,849.0,255.0,3.8913,near bay,126300
44,1938.0,399.0,946.0,331.0,3.225,near bay,135800
41,856.0,178.0,571.0,191.0,3.1458,near bay,130600
24,1790.0,454.0,1137.0,386.0,2.537,near bay,107900
44,617.0,131.0,378.0,135.0,2.5568,near bay,111100
43,1383.0,275.0,853.0,272.0,3.5083,near bay,122000
49,1325.0,277.0,764.0,282.0,3.3125,near bay,118000
40,1227.0,294.0,928.0,261.0,1.8235,near bay,95200
35,667.0,140.0,406.0,133.0,3.8047,near bay,94300
34,1223.0,281.0,824.0,280.0,2.2917,near bay,92500
37,1379.0,287.0,835.0,259.0,2.4962,near bay,91800
43,1534.0,300.0,826.0,295.0,4.0417,near bay,109400
46,1029.0,181.0,567.0,211.0,3.4844,near bay,129500
52,771.0,147.0,355.0,144.0,4.1458,near bay,143400
47,824.0,223.0,533.0,166.0,2.625,near bay,98200
44,1097.0,239.0,609.0,215.0,2.0227,near bay,103100
49,1283.0,238.0,576.0,236.0,3.3333,near bay,276800
52,1604.0,263.0,594.0,286.0,5.338,near bay,270900
52,2248.0,422.0,870.0,377.0,3.4732,near bay,246200
38,2263.0,522.0,1027.0,509.0,3.5125,near bay,224200
52,1571.0,349.0,693.0,326.0,3.1375,near bay,229100
46,1520.0,402.0,815.0,375.0,2.8036,near bay,211600
15,5083.0,1212.0,2420.0,1146.0,4.5824,near bay,256100
36,1077.0,293.0,518.0,276.0,3.0208,near bay,206300
52,1248.0,283.0,620.0,275.0,4.0875,near bay,221300
42,1342.0,291.0,551.0,266.0,4.5268,near bay,207400
37,3061.0,930.0,2556.0,924.0,1.7375,near bay,350000
52,3171.0,698.0,1498.0,696.0,3.1795,near bay,218200
50,1211.0,261.0,523.0,227.0,3.8672,near bay,216700
52,979.0,175.0,374.0,153.0,5.1675,near bay,270600
52,2269.0,380.0,1004.0,371.0,5.1696,near bay,261400
52,1844.0,332.0,769.0,334.0,4.2614,near bay,261300
52,2178.0,421.0,940.0,423.0,5.0551,near bay,232200
42,1650.0,274.0,645.0,256.0,5.6228,near bay,375400
52,1927.0,279.0,705.0,288.0,7.8864,near bay,357300
52,2079.0,273.0,684.0,275.0,7.9556,near bay,374400
52,1803.0,240.0,572.0,236.0,6.174,near bay,358800
52,2041.0,270.0,671.0,253.0,6.9414,near bay,417500
52,3046.0,373.0,975.0,365.0,8.8342,near bay,430500
52,2318.0,328.0,779.0,312.0,7.1754,near bay,362900
52,2003.0,250.0,658.0,244.0,8.946750000000016,near bay,397000
52,2261.0,328.0,819.0,335.0,4.9083,near bay,346800
52,1225.0,169.0,412.0,168.0,5.7912,near bay,327100
52,2315.0,408.0,835.0,369.0,4.5893,near bay,290100
52,2070.0,329.0,722.0,306.0,5.4171,near bay,292000
52,2616.0,473.0,1085.0,487.0,4.125,near bay,270900
52,2640.0,366.0,973.0,355.0,7.266,near bay,371100
52,1978.0,293.0,723.0,272.0,5.3989,near bay,335600
37,2220.0,335.0,903.0,362.0,7.8336,near bay,371300
41,1125.0,195.0,356.0,181.0,6.1593,near bay,344000
52,3078.0,494.0,1005.0,462.0,6.381,near bay,342200
52,3706.0,531.0,1205.0,504.0,6.6828,near bay,370900
37,3000.0,457.0,987.0,450.0,7.5385,near bay,350000
42,2863.0,460.0,1031.0,448.0,6.7138,near bay,368600
52,2551.0,417.0,894.0,404.0,6.2425,near bay,391800
52,2255.0,410.0,823.0,377.0,5.7979,near bay,415300
52,3360.0,648.0,1232.0,621.0,4.2813,near bay,284900
52,1693.0,391.0,669.0,367.0,3.5417,near bay,287500
44,2252.0,592.0,989.0,550.0,3.0132,near bay,272900
52,2495.0,491.0,1058.0,464.0,4.1429,near bay,259600
52,1193.0,200.0,506.0,207.0,4.1912,near bay,254500
52,1172.0,215.0,489.0,218.0,3.9167,near bay,235600
52,2159.0,424.0,824.0,388.0,3.8897,near bay,218400
48,2365.0,490.0,1034.0,475.0,3.1065,near bay,229200
46,1895.0,442.0,920.0,425.0,2.9926,near bay,192100
52,1650.0,395.0,841.0,380.0,3.556,near bay,179300
45,453.0,146.0,749.0,137.0,1.475,near bay,187500
52,409.0,97.0,208.0,98.0,1.6971,near bay,138800
10,503.0,118.0,228.0,100.0,2.1705,near bay,150000
50,499.0,127.0,287.0,128.0,2.75,near bay,140600
52,477.0,119.0,218.0,106.0,2.5682,near bay,120000
46,1647.0,376.0,854.0,355.0,2.9,near bay,144800
52,3123.0,749.0,1695.0,684.0,2.2208,near bay,144800
52,957.0,188.0,403.0,172.0,3.2344,near bay,245500
52,589.0,132.0,288.0,131.0,3.5156,near bay,200000
49,2026.0,548.0,963.0,521.0,1.9805,near bay,173700
50,1829.0,536.0,1129.0,516.0,2.6684,near bay,185600
52,895.0,198.0,386.0,204.0,3.875,near bay,182600
52,1909.0,416.0,811.0,406.0,3.006,near bay,227900
